#ZVView-data-copy:  15-Feb-2026 15:30:14
#=======================================
#
#name:   29-CU-0(P,X)29-CU-61,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  47
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          44.1        0.577        0.124      0.00889  # 1997,R.Michel+           ## O0276137  #dY:7.2%   
          44.2        0.576        0.106      0.00557  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          45.4         0.87        0.104      0.00559  # 1997,R.Michel+           ## O0276137  #dY:5.4%   
          45.6         0.34       0.0965     0.002895  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          45.6         0.34       0.0972     0.002916  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          45.8        0.075       0.1259       0.0054  # 2021,M.B.Fox+            ## C2702041  #dY:4.3%   
          45.9            0       0.1084        0.009  # 1992,S.J.Mills+          ## A0507009  #dY:8.3%   
          45.9         1.23        0.126      0.00896  # 1997,R.Michel+           ## O0276137  #dY:7.1%   
         46.18         0.34       0.1064       0.0064  # 2021,A.S.Voyles+         ## C2921028  #dY:6.0%   
         46.62         0.18       0.1203       0.0035  # 2020,J.T.Morrell+        ## C3074010  #dY:2.9%   
          47.1        0.856       0.0922      0.00485  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          47.3        0.075       0.1126       0.0048  # 2021,M.B.Fox+            ## C2702041  #dY:4.3%   
            48            0       0.1042       0.0087  # 1992,S.J.Mills+          ## A0507009  #dY:8.3%   
            48          1.6        0.118        0.013  # 2016,S.A.Graves+         ## C2243008  #dY:11.0%  
            48            0      0.10098      0.00299  # 2003,H.Yashima+          ## E1829068  #dY:3.0%   
          48.1         1.21        0.109      0.00796  # 1997,R.Michel+           ## O0276137  #dY:7.3%   
         48.46        0.175       0.1103       0.0037  # 2020,J.T.Morrell+        ## C3074010  #dY:3.4%   
          48.8        0.837       0.0854      0.00452  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          49.1         0.34       0.0815     0.002445  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          49.1         0.34       0.0814     0.002442  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          49.9         0.07       0.1037       0.0045  # 2021,M.B.Fox+            ## C2702041  #dY:4.3%   
          50.1            0       0.0918       0.0076  # 1992,S.J.Mills+          ## A0507009  #dY:8.3%   
         50.26         0.17       0.1011       0.0031  # 2020,J.T.Morrell+        ## C3074010  #dY:3.1%   
          50.3          1.2       0.0954      0.00681  # 1997,R.Michel+           ## O0276137  #dY:7.1%   
          50.4        0.818       0.0787      0.00421  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
         51.22          0.4       0.0975       0.0047  # 2021,M.B.Fox+            ## C2702041  #dY:4.8%   
            52            0        0.079       0.0066  # 1992,S.J.Mills+          ## A0507009  #dY:8.4%   
            52        0.801       0.0755      0.00408  # 1997,R.Michel+           ## O0276137  #dY:5.4%   
         52.02         0.17        0.093       0.0018  # 2020,J.T.Morrell+        ## C3074010  #dY:1.9%   
