#ZVView-data-copy:  15-Feb-2026 22:44:16
#=======================================
#
#name:   29-CU-0(P,X)28-NI-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  30
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            52        0.801      0.00184      9.64e-5  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          52.1          1.2     0.001565       8.3e-5  # 2018,A.S.Voyles+         ## C2327009  #dY:5.3%   
          52.2         0.07     0.001942       6.2e-5  # 2021,M.B.Fox+            ## C2702037  #dY:3.2%   
          52.2        0.788      0.00181     0.000105  # 1997,R.Michel+           ## O0276134  #dY:5.8%   
          52.4         0.34     0.001716     5.148e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          52.4         0.34     0.001751     5.253e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          52.4         1.18      0.00164     0.000121  # 1997,R.Michel+           ## O0276134  #dY:7.4%   
          52.5        0.792      0.00173       0.0001  # 1997,R.Michel+           ## O0276134  #dY:5.8%   
          52.6        0.797      0.00186     0.000108  # 1997,R.Michel+           ## O0276134  #dY:5.8%   
         53.04        0.305      0.00215      0.00015  # 2021,A.S.Voyles+         ## C2921022  #dY:7.0%   
         53.24        0.385      0.00238      0.00011  # 2021,M.B.Fox+            ## C2702037  #dY:4.6%   
          53.4        0.801      0.00197     0.000103  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          53.5        0.789      0.00209     0.000109  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          53.9            0      0.00195      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:8.7%   
          54.3        0.778      0.00211     0.000116  # 1997,R.Michel+           ## O0276134  #dY:5.5%   
          54.5         1.17      0.00201     0.000149  # 1997,R.Michel+           ## O0276134  #dY:7.4%   
            55        0.778      0.00225     0.000117  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
          55.2         0.65     0.002608       9.9e-5  # 2021,M.B.Fox+            ## C2702037  #dY:3.8%   
         55.21        0.375       0.0026      0.00012  # 2021,M.B.Fox+            ## C2702037  #dY:4.6%   
          55.3         0.76      0.00219     0.000126  # 1997,R.Michel+           ## O0276134  #dY:5.8%   
          55.5         0.34        0.002         6e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          55.5         0.34     0.001964     5.892e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          55.5        0.781      0.00237     0.000136  # 1997,R.Michel+           ## O0276134  #dY:5.7%   
          55.7         1.15      0.00219     0.000164  # 1997,R.Michel+           ## O0276134  #dY:7.5%   
          55.8            0      0.00217      0.00019  # 1992,S.J.Mills+          ## A0507011  #dY:8.8%   
            56        0.758      0.00217     0.000125  # 1997,R.Michel+           ## O0276134  #dY:5.8%   
          56.4        0.756      0.00225     0.000127  # 1997,R.Michel+           ## O0276134  #dY:5.6%   
          56.5        0.764       0.0023     0.000119  # 1997,R.Michel+           ## O0276134  #dY:5.2%   
            57        0.741      0.00221     0.000137  # 1997,R.Michel+           ## O0276134  #dY:6.2%   
          57.1         1.15      0.00219     0.000164  # 1997,R.Michel+           ## O0276134  #dY:7.5%   
         57.11        0.365      0.00273      0.00012  # 2021,M.B.Fox+            ## C2702037  #dY:4.4%   
