#ZVView-data-copy:   4-Feb-2026 08:15:09
#=======================================
#
#name:   28-NI-0(P,X)28-NI-57,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  238
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            27          0.5        0.192        0.025  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:13.0%  
          27.2          0.5        0.192        0.028  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:14.6%  
          27.4          0.5        0.187        0.025  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:13.4%  
          27.5            1       0.1714       0.0193  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          27.8          0.6       0.1523       0.0171  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          28.1          0.7       0.1884       0.0175  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.3%   
          28.3          0.9       0.1651       0.0186  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          28.6          0.7       0.1655       0.0153  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.2%   
            29        0.649        0.157      0.00821  # 1997,R.Michel+           ## O0276115  #dY:5.2%   
          29.2          0.8       0.1626       0.0183  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          29.2          0.5       0.1511        0.017  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
            30          0.7       0.1507        0.017  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          30.3          0.6       0.1555       0.0144  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.3%   
          30.5          0.4       0.1267       0.0142  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          30.7          0.6       0.1449       0.0163  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          30.8          0.6       0.1467       0.0136  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.3%   
          31.5          0.6       0.1346       0.0152  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          31.8          0.4       0.1176       0.0132  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          32.2          0.5       0.1291       0.0145  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          32.4          0.5       0.1315       0.0096  # 2011,M.U.Khandaker+      ## D7002007  #dY:7.3%   
          32.9          0.5       0.1275       0.0093  # 2011,M.U.Khandaker+      ## D7002007  #dY:7.3%   
          33.1          0.4       0.1228       0.0138  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          33.1          0.3       0.1121       0.0126  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          33.9          0.3       0.1153        0.013  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          34.3          0.2       0.0949       0.0107  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          34.4          0.4        0.114       0.0083  # 2011,M.U.Khandaker+      ## D7002007  #dY:7.3%   
          34.8          0.2        0.109       0.0123  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          35.3          0.4         0.11       0.0081  # 2011,M.U.Khandaker+      ## D7002007  #dY:7.4%   
          35.5          0.1       0.1006       0.0113  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          35.6          0.1        0.109       0.0123  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          36.1        0.522       0.0997      0.00552  # 1997,R.Michel+           ## O0276115  #dY:5.5%   
          36.5         0.02        0.103       0.0116  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          36.6         0.52       0.0946      0.00494  # 1997,R.Michel+           ## O0276115  #dY:5.2%   
          36.7         0.03       0.0931       0.0105  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          36.7          0.3       0.1019       0.0075  # 2011,M.U.Khandaker+      ## D7002007  #dY:7.4%   
          37.5          0.3       0.1007       0.0093  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.2%   
          38.4         1.18       0.0956      0.00515  # 1997,R.Michel+           ## O0276115  #dY:5.4%   
          38.8          0.3       0.0962       0.0071  # 2011,M.U.Khandaker+      ## D7002007  #dY:7.4%   
          39.6          0.3       0.0946       0.0069  # 2011,M.U.Khandaker+      ## D7002007  #dY:7.3%   
          39.6        0.439       0.0886      0.00489  # 1997,R.Michel+           ## O0276115  #dY:5.5%   
          40.1        0.433       0.0872      0.00463  # 1997,R.Michel+           ## O0276115  #dY:5.3%   
          40.4         1.89       0.0849      0.00859  # 1997,R.Michel+           ## O0276115  #dY:10.1%  
          40.5        0.442       0.0833      0.00434  # 1997,R.Michel+           ## O0276115  #dY:5.2%   
            43            1       0.0914       0.0094  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:10.3%  
          43.3        0.371       0.0789      0.00412  # 1997,R.Michel+           ## O0276115  #dY:5.2%   
          45.6         1.05        0.085      0.00456  # 1997,R.Michel+           ## O0276115  #dY:5.4%   
          47.1            2       0.0738       0.0083  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
         47.87         0.83       0.0677       0.0081  # 1985,R.Michel+           ## A0100011  #dY:12.0%  
          47.9         0.83       0.0677       0.0081  # 1997,R.Michel+           ## O0276115  #dY:12.0%  
          48.2          1.9       0.0717       0.0081  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          49.3          1.7       0.0707       0.0081  # 2014,N.Amjed+            ## D4301005  #dY:11.5%  
          50.3          1.6       0.0651       0.0074  # 2014,N.Amjed+            ## D4301005  #dY:11.4%  
          51.4          1.5       0.0678       0.0078  # 2014,N.Amjed+            ## D4301005  #dY:11.5%  
            52        0.946        0.083      0.00446  # 1997,R.Michel+           ## O0276115  #dY:5.4%   
          52.1         0.79       0.0706       0.0085  # 1985,R.Michel+           ## A0100011  #dY:12.0%  
          52.1         0.79       0.0706       0.0085  # 1997,R.Michel+           ## O0276115  #dY:12.0%  
          52.4          1.4       0.0672       0.0076  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          53.4          1.2       0.0715        0.008  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          54.4          1.1       0.0742       0.0085  # 2014,N.Amjed+            ## D4301005  #dY:11.5%  
          55.4            1       0.0739       0.0083  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          56.4          0.9       0.0745       0.0086  # 2014,N.Amjed+            ## D4301005  #dY:11.5%  
         56.75         0.74       0.0689       0.0083  # 1985,R.Michel+           ## A0100011  #dY:12.0%  
          56.8         0.74       0.0689       0.0083  # 1997,R.Michel+           ## O0276115  #dY:12.0%  
          57.3          0.8       0.0811       0.0093  # 2014,N.Amjed+            ## D4301005  #dY:11.5%  
          57.6        0.844       0.0802      0.00431  # 1997,R.Michel+           ## O0276115  #dY:5.4%   
          58.2          0.7       0.0812       0.0093  # 2014,N.Amjed+            ## D4301005  #dY:11.5%  
          59.2          0.6       0.0763       0.0086  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          60.1          0.5       0.0695        0.008  # 2014,N.Amjed+            ## D4301005  #dY:11.5%  
          60.2         1.27       0.0729      0.00738  # 1997,R.Michel+           ## O0276115  #dY:10.1%  
            61          0.3       0.0731       0.0084  # 2014,N.Amjed+            ## D4301005  #dY:11.5%  
          61.9          0.2       0.0734       0.0084  # 2014,N.Amjed+            ## D4301005  #dY:11.4%  
          62.1         0.68       0.0624       0.0081  # 1997,R.Michel+           ## O0276115  #dY:13.0%  
         62.13         0.68       0.0624       0.0081  # 1985,R.Michel+           ## A0100011  #dY:13.0%  
          62.8          0.1       0.0739       0.0084  # 2014,N.Amjed+            ## D4301005  #dY:11.4%  
            63        0.739        0.076      0.00447  # 1997,R.Michel+           ## O0276115  #dY:5.9%   
          63.6         0.03       0.0631       0.0072  # 2014,N.Amjed+            ## D4301005  #dY:11.4%  
            66            1        0.072       0.0085  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:11.8%  
         67.28         0.61       0.0613        0.008  # 1985,R.Michel+           ## A0100011  #dY:13.1%  
          67.3         0.61       0.0613        0.008  # 1997,R.Michel+           ## O0276115  #dY:13.1%  
          68.1        0.615        0.075      0.00442  # 1997,R.Michel+           ## O0276115  #dY:5.9%   
         72.08         0.54        0.059       0.0071  # 1985,R.Michel+           ## A0100011  #dY:12.0%  
          72.1         0.54        0.059       0.0071  # 1997,R.Michel+           ## O0276115  #dY:12.0%  
          76.2        0.976       0.0659      0.00669  # 1997,R.Michel+           ## O0276115  #dY:10.2%  
         76.78         0.45       0.0587        0.007  # 1985,R.Michel+           ## A0100011  #dY:11.9%  
          76.8         0.45       0.0587        0.007  # 1997,R.Michel+           ## O0276115  #dY:11.9%  
          77.4          1.8       0.0564       0.0056  # 1985,R.Michel+           ## A0100011  #dY:9.9%   
          87.7          1.7       0.0509       0.0051  # 1985,R.Michel+           ## A0100011  #dY:10.0%  
          90.1         0.71       0.0601      0.00608  # 1997,R.Michel+           ## O0276115  #dY:10.1%  
            97            1       0.0578       0.0058  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:10.0%  
          97.5          1.7        0.046       0.0046  # 1985,R.Michel+           ## A0100011  #dY:10.0%  
         106.7          1.7       0.0428       0.0043  # 1985,R.Michel+           ## A0100011  #dY:10.0%  
         115.3          1.6       0.0405       0.0041  # 1985,R.Michel+           ## A0100011  #dY:10.1%  
           124          1.6       0.0387       0.0043  # 1985,R.Michel+           ## A0100011  #dY:11.1%  
         132.2          1.5       0.0376       0.0038  # 1985,R.Michel+           ## A0100011  #dY:10.1%  
         140.2          0.4       0.0363       0.0036  # 1985,R.Michel+           ## A0100011  #dY:9.9%   
         147.9          1.4        0.035       0.0035  # 1985,R.Michel+           ## A0100011  #dY:10.0%  
           148            1       0.0473       0.0053  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:11.2%  
           148          1.4       0.0447      0.00317  # 1997,R.Michel+           ## O0276115  #dY:7.1%   
         153.9          1.8       0.0345       0.0034  # 1985,R.Michel+           ## A0100011  #dY:9.9%   
         159.9          1.7       0.0333       0.0033  # 1985,R.Michel+           ## A0100011  #dY:9.9%   
         165.3          0.2       0.0323       0.0032  # 1985,R.Michel+           ## A0100011  #dY:9.9%   
         165.9          1.7       0.0327       0.0033  # 1985,R.Michel+           ## A0100011  #dY:10.1%  
         171.7          1.7       0.0321       0.0032  # 1985,R.Michel+           ## A0100011  #dY:10.0%  
         177.4          1.6       0.0311       0.0031  # 1985,R.Michel+           ## A0100011  #dY:10.0%  
         182.9          1.6       0.0304        0.003  # 1985,R.Michel+           ## A0100011  #dY:9.9%   
         188.4          1.5         0.03        0.003  # 1985,R.Michel+           ## A0100011  #dY:10.0%  
         193.6          1.5       0.0195       0.0029  # 1985,R.Michel+           ## A0100011  #dY:14.9%  
         198.9          1.4       0.0293       0.0029  # 1985,R.Michel+           ## A0100011  #dY:9.9%   
           211         1.76       0.0312      0.00297  # 1996,Th.Schiekel+        ## O0284105  #dY:9.5%   
           230          1.6       0.0314      0.00266  # 1996,Th.Schiekel+        ## O0284105  #dY:8.5%   
           231          1.6       0.0284      0.00264  # 1996,Th.Schiekel+        ## O0284105  #dY:9.3%   
           239         1.63       0.0345        0.003  # 1996,Th.Schiekel+        ## O0284105  #dY:8.7%   
           239         1.63       0.0345      0.00263  # 1996,Th.Schiekel+        ## O0284105  #dY:7.6%   
           249            1       0.0323       0.0032  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:9.9%   
           257         1.33       0.0326      0.00305  # 1996,Th.Schiekel+        ## O0284105  #dY:9.4%   
           275         1.11        0.033      0.00248  # 1996,Th.Schiekel+        ## O0284105  #dY:7.5%   
           275          1.1       0.0313      0.00268  # 1996,Th.Schiekel+        ## O0284105  #dY:8.6%   
           282         1.04       0.0409       0.0034  # 1996,Th.Schiekel+        ## O0284105  #dY:8.3%   
           282         1.06       0.0386      0.00291  # 1996,Th.Schiekel+        ## O0284105  #dY:7.5%   
           326         1.75       0.0287      0.00275  # 1996,Th.Schiekel+        ## O0284105  #dY:9.6%   
           341         1.59        0.028      0.00234  # 1996,Th.Schiekel+        ## O0284105  #dY:8.4%   
           348         1.59       0.0302      0.00263  # 1996,Th.Schiekel+        ## O0284105  #dY:8.7%   
           348         1.59       0.0276      0.00208  # 1996,Th.Schiekel+        ## O0284105  #dY:7.5%   
           363         1.33       0.0266      0.00234  # 1996,Th.Schiekel+        ## O0284105  #dY:8.8%   
           378         1.09       0.0265       0.0021  # 1996,Th.Schiekel+        ## O0284105  #dY:7.9%   
           384         1.04       0.0297      0.00226  # 1996,Th.Schiekel+        ## O0284105  #dY:7.6%   
           385         1.04       0.0287      0.00243  # 1996,Th.Schiekel+        ## O0284105  #dY:8.5%   
           399            2       0.0321       0.0039  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:12.1%  
           590            0       0.0181        0.002  # 1971,J.E.Cline+          ## B0085012  #dY:11.0%  
           599            2       0.0299       0.0034  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:11.4%  
           600            0       0.0237       0.0009  # 1989,R.Michel+           ## O0078025  #dY:3.8%   
           600            0       0.0283       0.0062  # 1975,H.Weigel+           ## O0088020  #dY:21.9%  
           660            0       0.0214       0.0006  # 1990,Yu.V.Aleksandrov+   ## A0502003  #dY:2.8%   
           799            2        0.025       0.0027  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:10.8%  
           800            0       0.0219       0.0017  # 1995,R.Michel+           ## O0277177  #dY:7.8%   
           957            2       0.0261       0.0033  # 1999,S.Neumann           ## O1882070  #dY:12.6%  
          1199            3       0.0265       0.0026  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:9.8%   
          1200         1.04       0.0254      0.00184  # 1997,R.Michel+           ## O0276115  #dY:7.2%   
          1200         1.02        0.024      0.00191  # 1997,R.Michel+           ## O0276115  #dY:8.0%   
          1200            0       0.0208       0.0017  # 1995,R.Michel+           ## O0277177  #dY:8.2%   
          1359            2       0.0232       0.0029  # 1999,S.Neumann           ## O1882070  #dY:12.5%  
          1598            4       0.0212       0.0024  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:11.3%  
          1600         1.04        0.024      0.00169  # 1997,R.Michel+           ## O0276115  #dY:7.0%   
          1600         1.03       0.0227       0.0016  # 1997,R.Michel+           ## O0276115  #dY:7.0%   
          1600            0         0.02       0.0018  # 1995,R.Michel+           ## O0277177  #dY:9.0%   
          2600            0       0.0184       0.0018  # 1995,R.Michel+           ## O0277177  #dY:9.8%   
          2600            1       0.0219       0.0027  # 1999,S.Neumann           ## O1882070  #dY:12.3%  
          2605            8        0.019       0.0023  # 2011,Yu.E.Titarenko+     ## A0906002  #dY:12.1%  
         8.482            0    0.0006318            0  # 1990,M.Furukawa+         ## E1864004             
         11.93            0     0.001065            0  # 1990,M.Furukawa+         ## E1864004             
          12.5         0.57      0.00012         1e-5  # 2020,D.Adel+             ## D4410008  #dY:8.3%   
         13.16         0.55       0.0013       0.0005  # 2020,D.Adel+             ## D4410008  #dY:38.5%  
          13.3          0.8       0.0035       0.0004  # 2011,A.A.Alharbi+        ## D0673003  #dY:11.4%  
          13.6          0.3      0.00041         5e-5  # 1991,F.Tarkanyi+         ## D4080002  #dY:12.2%  
          13.7          0.3       0.0024       0.0003  # 2016,Md.S.Uddin+         ## D0802010  #dY:12.5%  
         13.78         0.52      0.00272         5e-5  # 2020,D.Adel+             ## D4410008  #dY:1.8%   
         13.86         1.49      0.00013         4e-5  # 2016,E.Garrido+          ## O2315015  #dY:30.8%  
          13.9          0.3       0.0012      0.00014  # 1991,F.Tarkanyi+         ## D4080002  #dY:11.7%  
          14.2          0.2       0.0044       0.0004  # 2016,Md.S.Uddin+         ## D0802010  #dY:9.1%   
          14.2          0.3      0.00212      0.00024  # 1991,F.Tarkanyi+         ## D4080002  #dY:11.3%  
         14.36         0.65      0.00389      0.00045  # 2002,S.Takacs+           ## D4106003  #dY:11.6%  
          14.4          0.3      0.00245      0.00028  # 1991,F.Tarkanyi+         ## D4080002  #dY:11.4%  
         14.54          0.5       0.0065      0.00085  # 2020,D.Adel+             ## D4410008  #dY:13.1%  
         14.56         0.42       0.0044      0.00051  # 2002,S.Takacs+           ## D4106003  #dY:11.6%  
          14.6          0.3      0.00401      0.00043  # 1991,F.Tarkanyi+         ## D4080002  #dY:10.7%  
          14.7          0.8        0.009        0.001  # 2011,A.A.Alharbi+        ## D0673003  #dY:11.1%  
          14.7          0.3      0.00352      0.00036  # 1991,F.Tarkanyi+         ## D4080002  #dY:10.2%  
          14.8          0.5      0.00382      0.00044  # 1991,F.Tarkanyi+         ## D4080002  #dY:11.5%  
          14.9          0.2       0.0093       0.0007  # 2016,Md.S.Uddin+         ## D0802010  #dY:7.5%   
          14.9          0.3      0.00698      0.00071  # 1991,F.Tarkanyi+         ## D4080002  #dY:10.2%  
            15          0.5      0.00505      0.00061  # 1991,F.Tarkanyi+         ## D4080002  #dY:12.1%  
          15.2          0.3       0.0108       0.0011  # 1991,F.Tarkanyi+         ## D4080002  #dY:10.2%  
          15.3          0.2       0.0053       0.0007  # 2001,F.Szelecsenyi+      ## D4083004  #dY:13.2%  
         15.38         0.48      0.00765       0.0002  # 2020,D.Adel+             ## D4410008  #dY:2.6%   
         15.43         1.35      0.00807      0.00096  # 2016,E.Garrido+          ## O2315015  #dY:11.9%  
          15.5          0.2       0.0173       0.0012  # 2016,Md.S.Uddin+         ## D0802010  #dY:6.9%   
          15.5          0.3       0.0123       0.0014  # 1991,F.Tarkanyi+         ## D4080002  #dY:11.4%  
          15.6          0.3        0.016       0.0017  # 1991,F.Tarkanyi+         ## D4080002  #dY:10.6%  
          15.7          0.2         0.02       0.0014  # 2016,Md.S.Uddin+         ## D0802010  #dY:7.0%   
          15.7          0.5       0.0152       0.0015  # 1991,F.Tarkanyi+         ## D4080002  #dY:9.9%   
         15.73          0.4      0.01558      0.00177  # 2002,S.Takacs+           ## D4106003  #dY:11.4%  
         15.79         0.45      0.01744      0.00397  # 2020,D.Adel+             ## D4410008  #dY:22.8%  
          15.8          0.2       0.0195       0.0023  # 1991,F.Tarkanyi+         ## D4080002  #dY:11.8%  
          15.8         0.62      0.01961      0.00223  # 2002,S.Takacs+           ## D4106003  #dY:11.4%  
         15.89            0      0.01662            0  # 1990,M.Furukawa+         ## E1864004             
