#ZVView-data-copy:   3-Feb-2026 17:43:46
#=======================================
#
#name:   29-CU-0(P,X)27-CO-58-G,M+,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  17
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          30.3         1.09       0.0107     0.000753  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          30.4        0.761       0.0145     0.000764  # 1997,R.Michel+           ## O0276135  #dY:5.3%   
          31.7        0.762       0.0237      0.00178  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          31.9         1.31       0.0139      0.00102  # 1997,R.Michel+           ## O0276135  #dY:7.3%   
          32.2         0.74       0.0268      0.00138  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          32.2        0.758       0.0293      0.00158  # 1997,R.Michel+           ## O0276135  #dY:5.4%   
          32.5        0.745       0.0317      0.00162  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          32.7        0.736       0.0321      0.00163  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          32.8        0.728        0.032      0.00166  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
            33        0.742        0.032      0.00238  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          33.1         1.06       0.0288      0.00202  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          33.4        0.729       0.0364       0.0019  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          33.7        0.728       0.0362      0.00271  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          33.9        0.723       0.0382      0.00199  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          34.5          3.3       0.0399       0.0055  # 2002,T.Ido+              ## D4114007  #dY:13.8%  
          34.6        0.939       0.0379      0.00198  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          34.7        0.715       0.0439      0.00224  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          34.8        0.719       0.0457      0.00231  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
            35          1.3       0.0333      0.00236  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          35.2         0.71       0.0466      0.00243  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          35.8          1.5       0.0419       0.0055  # 2002,T.Ido+              ## D4114007  #dY:13.1%  
          35.9        0.705       0.0493      0.00369  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          36.2        0.694       0.0502       0.0026  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          36.4        0.988       0.0466      0.00326  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          36.6        0.696       0.0516       0.0038  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          36.7        0.701       0.0543      0.00275  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          36.7        0.689       0.0526       0.0027  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          36.8         2.13       0.0527      0.00534  # 1997,R.Michel+           ## O0276135  #dY:10.1%  
          36.9        0.685        0.052      0.00286  # 1997,R.Michel+           ## O0276135  #dY:5.5%   
          37.2          1.4       0.0445       0.0058  # 2002,T.Ido+              ## D4114007  #dY:13.0%  
          37.4        0.676       0.0546      0.00284  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          37.4        0.934       0.0512      0.00263  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          37.5         1.27       0.0476      0.00337  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          37.8        0.675       0.0553      0.00285  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          38.5        0.669       0.0574       0.0032  # 1997,R.Michel+           ## O0276135  #dY:5.6%   
          38.5         0.66       0.0574       0.0029  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          38.6        0.665       0.0568      0.00322  # 1997,R.Michel+           ## O0276135  #dY:5.7%   
          38.6        0.667       0.0598      0.00428  # 1997,R.Michel+           ## O0276135  #dY:7.2%   
          38.7        0.671       0.0567      0.00289  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          38.8        0.907       0.0567      0.00296  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          38.9         0.91        0.056      0.00392  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          38.9         1.27       0.0483      0.00344  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          39.2        0.654        0.058      0.00432  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          39.3        0.653       0.0577      0.00297  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          39.4          2.9       0.0517        0.007  # 2002,T.Ido+              ## D4114007  #dY:13.5%  
          39.4        0.906       0.0558      0.00283  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          39.5          1.2       0.0492       0.0065  # 2002,T.Ido+              ## D4114007  #dY:13.2%  
          39.5         1.26        0.055      0.00389  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          39.6        0.933       0.0596      0.00305  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          40.2        0.643        0.059      0.00336  # 1997,R.Michel+           ## O0276135  #dY:5.7%   
          40.3        0.647         0.06      0.00303  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          40.4        0.904       0.0564      0.00286  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          40.4        0.645         0.06      0.00439  # 1997,R.Michel+           ## O0276135  #dY:7.3%   
          40.5         1.25       0.0562      0.00397  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          40.6        0.641       0.0588        0.003  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          40.7        0.634       0.0578      0.00299  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          40.9          1.1        0.049       0.0064  # 2002,T.Ido+              ## D4114007  #dY:13.1%  
          41.1        0.631       0.0582      0.00412  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          41.2        0.854       0.0575      0.00403  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          41.6          0.9       0.0582        0.003  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          41.7        0.621       0.0579      0.00331  # 1997,R.Michel+           ## O0276135  #dY:5.7%   
          41.9         1.25       0.0582      0.00415  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
            42        0.618       0.0575       0.0031  # 1997,R.Michel+           ## O0276135  #dY:5.4%   
          42.4        0.606       0.0555       0.0029  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          42.4        0.609       0.0565      0.00288  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
            43          0.9       0.0473       0.0062  # 2002,T.Ido+              ## D4114007  #dY:13.1%  
          43.3         1.23        0.056      0.00396  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          43.5        0.781       0.0553      0.00387  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
          43.5         1.24       0.0571      0.00404  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          43.6        0.883       0.0578      0.00297  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          43.7        0.887       0.0578      0.00293  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          44.1        0.577       0.0543      0.00398  # 1997,R.Michel+           ## O0276135  #dY:7.3%   
          44.2          2.5       0.0467       0.0063  # 2002,T.Ido+              ## D4114007  #dY:13.5%  
          44.2        0.576       0.0522      0.00267  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          44.2        0.574       0.0532      0.00276  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          44.2        0.574       0.0539      0.00281  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          44.2        0.572       0.0525      0.00266  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          44.2        0.894       0.0564      0.00289  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          44.3          0.8       0.0401       0.0053  # 2002,T.Ido+              ## D4114007  #dY:13.2%  
          44.5        0.565       0.0524      0.00383  # 1997,R.Michel+           ## O0276135  #dY:7.3%   
          44.5        0.562       0.0536        0.004  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          44.6        0.565       0.0514      0.00263  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          44.6        0.563       0.0525      0.00283  # 1997,R.Michel+           ## O0276135  #dY:5.4%   
          45.2        0.853       0.0533      0.00271  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          45.4         0.87       0.0535       0.0027  # 1997,R.Michel+           ## O0276135  #dY:5.0%   
          45.5        0.861        0.053      0.00272  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          45.7        0.844       0.0503      0.00263  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          45.9        0.852       0.0514      0.00264  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          45.9         1.23       0.0559      0.00395  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          46.1         1.23       0.0528      0.00373  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          46.2          0.6       0.0419       0.0055  # 2002,T.Ido+              ## D4114007  #dY:13.1%  
          46.2         1.22       0.0521      0.00368  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          46.7        0.869       0.0502      0.00257  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          46.7         1.22       0.0503      0.00355  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          47.1          2.3       0.0366       0.0046  # 2002,T.Ido+              ## D4114007  #dY:12.6%  
          47.1        0.856       0.0483      0.00244  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          47.3         0.85       0.0479      0.00246  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          47.4        0.832       0.0448      0.00234  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          48.1         1.21       0.0478      0.00338  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          48.4          2.1       0.0355       0.0049  # 2002,T.Ido+              ## D4114007  #dY:13.8%  
          48.7        0.821        0.042      0.00214  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          48.8        0.837       0.0432      0.00219  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          48.8          1.2       0.0417      0.00296  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
            49        0.846       0.0426      0.00218  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          49.2        0.828       0.0411      0.00213  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          49.3        0.823       0.0422      0.00215  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          49.7          0.3        0.033       0.0044  # 2002,T.Ido+              ## D4114007  #dY:13.3%  
          49.9          0.3       0.0322       0.0042  # 2002,T.Ido+              ## D4114007  #dY:13.0%  
          49.9          1.2       0.0403      0.00286  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          50.2            2       0.0333        0.004  # 2002,T.Ido+              ## D4114007  #dY:12.0%  
          50.3          1.2       0.0421      0.00298  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          50.4        0.818       0.0388      0.00196  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          50.9        0.818       0.0372      0.00191  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
            51         1.82       0.0376      0.00391  # 1997,R.Michel+           ## O0276135  #dY:10.4%  
          51.2        0.823       0.0367      0.00188  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          51.2         1.19       0.0367       0.0027  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          51.3         1.18       0.0362      0.00257  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
            52        0.801       0.0352      0.00178  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          52.2        0.788       0.0344      0.00174  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          52.4          1.8       0.0289        0.004  # 2002,T.Ido+              ## D4114007  #dY:13.8%  
          52.4         1.18       0.0381      0.00269  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          52.5        0.792       0.0347      0.00175  # 1997,R.Michel+           ## O0276135  #dY:5.0%   
          52.6        0.797        0.034      0.00175  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          53.3          1.7       0.0277       0.0035  # 2002,T.Ido+              ## D4114007  #dY:12.6%  
          53.4        0.801       0.0334      0.00171  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          53.4         1.18       0.0337      0.00249  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          53.5        0.789       0.0329      0.00166  # 1997,R.Michel+           ## O0276135  #dY:5.0%   
          53.8         1.17       0.0309      0.00218  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          54.3        0.778       0.0316      0.00163  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          54.5         1.17       0.0334      0.00237  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
            55        0.778       0.0315      0.00159  # 1997,R.Michel+           ## O0276135  #dY:5.0%   
          55.3         0.76       0.0309      0.00157  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          55.5        0.781       0.0313       0.0016  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          55.7         1.15       0.0301      0.00226  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
            56        0.758         0.03      0.00153  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          56.1          1.4       0.0283       0.0038  # 2002,T.Ido+              ## D4114007  #dY:13.4%  
          56.3          1.5       0.0273       0.0034  # 2002,T.Ido+              ## D4114007  #dY:12.5%  
          56.4        0.756       0.0305      0.00157  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          56.5        0.764       0.0305      0.00155  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
            57        0.741       0.0301      0.00157  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          57.1         1.15       0.0307      0.00217  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          57.3        0.737       0.0302      0.00157  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          57.4         1.15       0.0304      0.00215  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          57.5        0.756        0.031      0.00159  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          57.6          1.4         0.03      0.00304  # 1997,R.Michel+           ## O0276135  #dY:10.1%  
          57.8         1.14       0.0294      0.00208  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
            58        0.741       0.0304      0.00156  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          58.4        0.727       0.0305      0.00159  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          58.7        0.723       0.0307       0.0016  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          58.8        0.724       0.0306      0.00155  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          59.2          1.2       0.0274       0.0034  # 2002,T.Ido+              ## D4114007  #dY:12.4%  
          59.5        0.723       0.0312       0.0016  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          59.5        0.727       0.0316       0.0016  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          59.6          1.1       0.0304       0.0041  # 2002,T.Ido+              ## D4114007  #dY:13.5%  
          59.8         1.13       0.0303      0.00215  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          59.8         1.13       0.0299      0.00218  # 1997,R.Michel+           ## O0276135  #dY:7.3%   
          60.6        0.709       0.0312      0.00158  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          60.6         1.12       0.0311      0.00235  # 1997,R.Michel+           ## O0276135  #dY:7.6%   
          60.9        0.712       0.0319      0.00162  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          60.9        0.699       0.0322      0.00168  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          61.7        0.709       0.0331       0.0017  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          61.7         1.11       0.0308      0.00218  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
            62            1       0.0281       0.0035  # 2002,T.Ido+              ## D4114007  #dY:12.5%  
          62.2         1.11       0.0313      0.00222  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          62.3        0.692       0.0336       0.0017  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          62.3        0.686       0.0334      0.00174  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          62.4         1.11        0.031      0.00219  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          62.6        0.692       0.0334      0.00171  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          63.1          0.8        0.027       0.0037  # 2002,T.Ido+              ## D4114007  #dY:13.7%  
          63.1        0.673       0.0343      0.00174  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          63.3        0.673       0.0338      0.00171  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          63.6        0.681       0.0346      0.00175  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          63.6        0.684       0.0351       0.0018  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          63.7          1.1       0.0321      0.00229  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          63.8          1.1       0.0324      0.00229  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
            64        0.673       0.0349      0.00179  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          64.2         1.09       0.0328      0.00232  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          64.7          0.7       0.0323        0.004  # 2002,T.Ido+              ## D4114007  #dY:12.4%  
          64.9        0.663       0.0362      0.00183  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          65.2         1.09       0.0337      0.00238  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          65.5        0.648       0.0363      0.00186  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          65.5        0.659        0.037      0.00189  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          65.6         1.08       0.0333      0.00237  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          65.8         0.64        0.037      0.00187  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
            66        0.641       0.0368      0.00186  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
            66         1.08       0.0344      0.00246  # 1997,R.Michel+           ## O0276135  #dY:7.2%   
          66.2        0.641       0.0376       0.0019  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          66.5          0.5       0.0349       0.0046  # 2002,T.Ido+              ## D4114007  #dY:13.2%  
          66.9        0.632       0.0378      0.00194  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          67.2          0.5       0.0337       0.0041  # 2002,T.Ido+              ## D4114007  #dY:12.2%  
          67.4        0.629       0.0391        0.002  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          67.4         1.07       0.0357      0.00253  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          67.5        0.622       0.0391      0.00198  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          67.7         1.07        0.037      0.00262  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          68.2         1.06       0.0362      0.00261  # 1997,R.Michel+           ## O0276135  #dY:7.2%   
          68.3         0.61       0.0397      0.00204  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          68.5        0.601       0.0396      0.00201  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          68.5        0.602         0.04      0.00203  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          68.8        0.604       0.0405      0.00204  # 1997,R.Michel+           ## O0276135  #dY:5.0%   
          69.2          0.3       0.0378       0.0049  # 2002,T.Ido+              ## D4114007  #dY:13.0%  
          69.2        0.597       0.0419      0.00214  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          69.2         1.05       0.0382      0.00271  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          69.4         1.05       0.0372      0.00263  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          69.6        0.588       0.0413      0.00212  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          69.8          0.3       0.0387       0.0047  # 2002,T.Ido+              ## D4114007  #dY:12.1%  
            70        0.582       0.0421      0.00212  # 1997,R.Michel+           ## O0276135  #dY:5.0%   
          71.4        0.549       0.0437      0.00228  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          71.4         0.55       0.0445      0.00228  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          71.4        0.547       0.0436      0.00221  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          71.4         0.55       0.0431      0.00221  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          71.4         1.03       0.0402      0.00284  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          71.4         1.02         0.04      0.00297  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          71.4         1.03       0.0401      0.00298  # 1997,R.Michel+           ## O0276135  #dY:7.4%   
          71.4         1.03       0.0408      0.00299  # 1997,R.Michel+           ## O0276135  #dY:7.3%   
          71.5        0.548       0.0438      0.00228  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          71.5        0.547       0.0439      0.00223  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
            74         1.04       0.0457      0.00463  # 1997,R.Michel+           ## O0276135  #dY:10.1%  
          85.3         1.08       0.0563      0.00584  # 1997,R.Michel+           ## O0276135  #dY:10.4%  
          88.1        0.791       0.0515      0.00521  # 1997,R.Michel+           ## O0276135  #dY:10.1%  
          99.9          1.5       0.0531       0.0037  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
           101         1.69       0.0508       0.0044  # 1997,R.Michel+           ## O0276135  #dY:8.7%   
           111          1.4        0.052       0.0036  # 1997,R.Michel+           ## O0276135  #dY:6.9%   
           111         1.61       0.0511      0.00439  # 1997,R.Michel+           ## O0276135  #dY:8.6%   
           121          1.3        0.051       0.0048  # 1997,R.Michel+           ## O0276135  #dY:9.4%   
           121         1.53       0.0507      0.00435  # 1997,R.Michel+           ## O0276135  #dY:8.6%   
           131          1.3       0.0506       0.0036  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
           131         1.43       0.0498      0.00427  # 1997,R.Michel+           ## O0276135  #dY:8.6%   
           140          1.2       0.0499       0.0035  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
           140         1.34       0.0492      0.00424  # 1997,R.Michel+           ## O0276135  #dY:8.6%   
           148          1.1       0.0488       0.0034  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
           149         1.25       0.0464      0.00403  # 1997,R.Michel+           ## O0276135  #dY:8.7%   
           158          1.1       0.0469       0.0033  # 1997,R.Michel+           ## O0276135  #dY:7.0%   
           158         1.14       0.0466      0.00404  # 1997,R.Michel+           ## O0276135  #dY:8.7%   
           200            0       0.0446        0.005  # 1978,C.J.Orth+           ## O0418055  #dY:11.2%  
           226          1.8       0.0394       0.0031  # 1996,Th.Schiekel+        ## O0284118  #dY:7.9%   
           271         1.28       0.0403      0.00321  # 1996,Th.Schiekel+        ## O0284118  #dY:8.0%   
           338         1.74       0.0385      0.00302  # 1996,Th.Schiekel+        ## O0284118  #dY:7.8%   
           350            0       0.0384       0.0042  # 1978,C.J.Orth+           ## O0418055  #dY:10.9%  
           375         1.26        0.038      0.00297  # 1996,Th.Schiekel+        ## O0284118  #dY:7.8%   
