,Activity foil,isotope,half life,half life (s),A0 bequerel,E gamma,I gamma,counting times at delays 2.00 d/2.17 d/2.33 d/2.50 d/2.67 d/2.83 d/3.00 d/3.17 d
3284,A0_Cu07,57COg,271.74 d,23478340.0,1.4547794295397856,122.06065,85.6,"['9.45 d', '9.46 d', '9.46 d', '9.47 d', '9.47 d', '9.48 d', '9.48 d', '9.48 d']"
311,A0_Ni01,59CUg,1.36 min,81.5,50.92562863032245,1301.35,14.78,"['-', '-', '-', '-', '-', '-', '-', '-']"
255,A0_Ni01,54COm1,1.48 min,88.8,53.68563762976033,1407.0,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
381,A0_Ni01,62COg,1.50 min,90.0,9.395250434871183,1172.9,83.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
647,A0_Ni01,50MNm1,1.75 min,105.0,13.078506268887288,783.3,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
220,A0_Ni01,53FEm1,2.54 min,152.4,726.4008518279244,701.1,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
35,A0_Ni01,55CRg,3.50 min,209.82,1.4149802352253225,1528.0,0.037,"['-', '-', '-', '-', '-', '-', '-', '-']"
165,A0_Ni01,61FEg,5.98 min,358.8,19.98690920682232,1205.07,42.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
185,A0_Ni01,53FEg,8.51 min,510.6,300457.4594270614,377.9,42.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
346,A0_Ni01,62CUg,9.67 min,580.38,32477.97036972067,1172.97,0.342,"['-', '-', '-', '-', '-', '-', '-', '-']"
486,A0_Ni01,60COm1,10.47 min,628.02,40050.80327430638,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
895,A0_Ni01,60COm,10.47 min,628.02,8077.69203648609,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
416,A0_Ni01,62COm1,13.91 min,834.6,6024.175318476006,1172.9,97.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
130,A0_Ni01,52MNm1,21.10 min,1266.0,326537.9315956471,1434.06,98.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
875,A0_Ni01,52MNm,21.10 min,1266.0,192.9139271659727,1434.06,98.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
714,A0_Ni01,60CUg,23.70 min,1422.0,158025.06040184485,1332.5,88.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
677,A0_Ni01,47Vg,32.60 min,1956.0,324.19665038262565,1793.9,0.191,"['-', '-', '-', '-', '-', '-', '-', '-']"
40,A0_Ni01,49CRg,42.30 min,2538.0,10276.807952541674,90.639,53.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
276,A0_Ni01,51MNg,46.20 min,2772.0,17200.113446087144,749.07,0.265,"['-', '-', '-', '-', '-', '-', '-', '-']"
784,A0_Ni01,61COg,1.65 h,5940.0,51343.65199979906,67.412,84.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
514,A0_Ni01,56MNg,2.58 h,9284.04,1897.517255405944,846.7638,98.85,"['-', '-', '-', '-', '-', '-', '-', '-']"
840,A0_Ni01,61CUg,3.33 h,11998.8,22994.230576268972,282.956,12.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
570,A0_Ni01,58COm1,9.10 h,32760.0,219749.1653257983,24.889,0.0397,"['-', '-', '-', '-', '-', '-', '-', '-']"
923,A0_Ni01,58COm,9.10 h,32760.0,8979.772567217462,24.889,0.0397,"['-', '-', '-', '-', '-', '-', '-', '-']"
670,A0_Ni01,64CUg,12.70 h,45723.6,864.1233792468263,1345.77,0.475,"['-', '-', '-', '-', '-', '-', '-', '-']"
612,A0_Ni01,55COg,17.53 h,63108.0,203536.12427933732,931.1,75.0,"['43.72 s', '51.21 s', '59.99 s', '1.17 min', '1.37 min', '1.61 min', '1.88 min', '2.21 min']"
